"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0008","1.9201e-007",
"380.2","0.0005","1.2379e-007",
"380.4","0.0009","2.0469e-007",
"380.6","0.0005","1.2473e-007",
"380.8","0.0000","0.0000e+000",
"381.0","0.0013","2.9755e-007",
"381.2","0.0032","7.3085e-007",
"381.4","0.0027","6.2871e-007",
"381.6","0.0011","2.5939e-007",
"381.8","0.0001","2.9820e-008",
"382.0","0.0000","0.0000e+000",
"382.2","0.0016","3.6603e-007",
"382.4","0.0032","7.3965e-007",
"382.6","0.0024","5.5447e-007",
"382.8","0.0011","2.5019e-007",
"383.0","0.0003","5.8674e-008",
"383.2","0.0001","2.7769e-008",
"383.4","0.0014","3.1712e-007",
"383.6","0.0019","4.4322e-007",
"383.8","0.0005","1.0480e-007",
"384.0","0.0008","1.9050e-007",
"384.2","0.0046","1.0625e-006",
"384.4","0.0068","1.5627e-006",
"384.6","0.0058","1.3230e-006",
"384.8","0.0054","1.2297e-006",
"385.0","0.0064","1.4571e-006",
"385.2","0.0067","1.5465e-006",
"385.4","0.0060","1.3837e-006",
"385.6","0.0039","8.9296e-007",
"385.8","0.0011","2.6027e-007",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","0.0000e+000",
"386.4","0.0013","3.0357e-007",
"386.6","0.0035","8.0516e-007",
"386.8","0.0048","1.0965e-006",
"387.0","0.0056","1.2939e-006",
"387.2","0.0073","1.6695e-006",
"387.4","0.0083","1.9127e-006",
"387.6","0.0065","1.4924e-006",
"387.8","0.0044","1.0040e-006",
"388.0","0.0048","1.0940e-006",
"388.2","0.0051","1.1596e-006",
"388.4","0.0034","7.7117e-007",
"388.6","0.0023","5.2452e-007",
"388.8","0.0035","8.0482e-007",
"389.0","0.0038","8.6474e-007",
"389.2","0.0015","3.3492e-007",
"389.4","0.0000","5.3088e-009",
"389.6","0.0008","1.8153e-007",
"389.8","0.0019","4.4280e-007",
"390.0","0.0027","6.1984e-007",
"390.2","0.0022","4.9587e-007",
"390.4","0.0006","1.2685e-007",
"390.6","0.0005","1.0945e-007",
"390.8","0.0019","4.3230e-007",
"391.0","0.0027","6.0910e-007",
"391.2","0.0025","5.8425e-007",
"391.4","0.0016","3.7214e-007",
"391.6","0.0008","1.8501e-007",
"391.8","0.0023","5.3226e-007",
"392.0","0.0046","1.0552e-006",
"392.2","0.0047","1.0852e-006",
"392.4","0.0035","8.0766e-007",
"392.6","0.0015","3.4029e-007",
"392.8","0.0000","7.2684e-009",
"393.0","0.0015","3.4735e-007",
"393.2","0.0035","8.0175e-007",
"393.4","0.0041","9.4198e-007",
"393.6","0.0038","8.6664e-007",
"393.8","0.0021","4.8817e-007",
"394.0","0.0011","2.4279e-007",
"394.2","0.0019","4.3529e-007",
"394.4","0.0025","5.8067e-007",
"394.6","0.0020","4.5377e-007",
"394.8","0.0011","2.5548e-007",
"395.0","0.0003","6.5803e-008",
"395.2","0.0002","4.5646e-008",
"395.4","0.0010","2.2011e-007",
"395.6","0.0013","2.8887e-007",
"395.8","0.0010","2.3554e-007",
"396.0","0.0017","3.9875e-007",
"396.2","0.0031","7.1514e-007",
"396.4","0.0032","7.3078e-007",
"396.6","0.0024","5.4348e-007",
"396.8","0.0027","6.2593e-007",
"397.0","0.0036","8.2127e-007",
"397.2","0.0029","6.6913e-007",
"397.4","0.0016","3.7124e-007",
"397.6","0.0014","3.1113e-007",
"397.8","0.0016","3.7417e-007",
"398.0","0.0018","4.2234e-007",
"398.2","0.0020","4.6576e-007",
"398.4","0.0021","4.8814e-007",
"398.6","0.0023","5.2828e-007",
"398.8","0.0028","6.4506e-007",
"399.0","0.0032","7.2376e-007",
"399.2","0.0029","6.7472e-007",
"399.4","0.0025","5.7958e-007",
"399.6","0.0021","4.7568e-007",
"399.8","0.0018","4.1338e-007",
"400.0","0.0018","4.2346e-007",
"400.2","0.0014","3.1927e-007",
"400.4","0.0003","7.1266e-008",
"400.6","0.0006","1.3545e-007",
"400.8","0.0025","5.6845e-007",
"401.0","0.0033","7.4928e-007",
"401.2","0.0026","5.9276e-007",
"401.4","0.0023","5.1743e-007",
"401.6","0.0025","5.7645e-007",
"401.8","0.0028","6.5069e-007",
"402.0","0.0032","7.2367e-007",
"402.2","0.0036","8.1447e-007",
"402.4","0.0039","8.8445e-007",
"402.6","0.0036","8.2830e-007",
"402.8","0.0032","7.3505e-007",
"403.0","0.0033","7.6747e-007",
"403.2","0.0037","8.5285e-007",
"403.4","0.0039","9.0411e-007",
"403.6","0.0040","9.2027e-007",
"403.8","0.0039","8.8834e-007",
"404.0","0.0035","8.1005e-007",
"404.2","0.0029","6.6348e-007",
"404.4","0.0023","5.3497e-007",
"404.6","0.0022","4.9848e-007",
"404.8","0.0021","4.8453e-007",
"405.0","0.0020","4.5789e-007",
"405.2","0.0021","4.7865e-007",
"405.4","0.0025","5.7553e-007",
"405.6","0.0031","7.1669e-007",
"405.8","0.0038","8.7892e-007",
"406.0","0.0043","9.8042e-007",
"406.2","0.0043","9.8091e-007",
"406.4","0.0038","8.6385e-007",
"406.6","0.0030","6.8330e-007",
"406.8","0.0031","7.0454e-007",
"407.0","0.0039","8.8816e-007",
"407.2","0.0037","8.5682e-007",
"407.4","0.0030","6.9170e-007",
"407.6","0.0035","8.0577e-007",
"407.8","0.0048","1.0899e-006",
"408.0","0.0054","1.2322e-006",
"408.2","0.0055","1.2601e-006",
"408.4","0.0054","1.2269e-006",
"408.6","0.0051","1.1789e-006",
"408.8","0.0053","1.2080e-006",
"409.0","0.0053","1.2209e-006",
"409.2","0.0046","1.0488e-006",
"409.4","0.0040","9.2008e-007",
"409.6","0.0050","1.1357e-006",
"409.8","0.0058","1.3219e-006",
"410.0","0.0052","1.1882e-006",
"410.2","0.0044","1.0035e-006",
"410.4","0.0039","8.9643e-007",
"410.6","0.0040","9.2693e-007",
"410.8","0.0051","1.1613e-006",
"411.0","0.0063","1.4348e-006",
"411.2","0.0072","1.6563e-006",
"411.4","0.0076","1.7331e-006",
"411.6","0.0071","1.6373e-006",
"411.8","0.0068","1.5600e-006",
"412.0","0.0068","1.5605e-006",
"412.2","0.0070","1.6072e-006",
"412.4","0.0073","1.6669e-006",
"412.6","0.0071","1.6250e-006",
"412.8","0.0066","1.5064e-006",
"413.0","0.0063","1.4411e-006",
"413.2","0.0063","1.4482e-006",
"413.4","0.0067","1.5294e-006",
"413.6","0.0073","1.6623e-006",
"413.8","0.0080","1.8288e-006",
"414.0","0.0086","1.9744e-006",
"414.2","0.0087","2.0024e-006",
"414.4","0.0086","1.9758e-006",
"414.6","0.0086","1.9626e-006",
"414.8","0.0086","1.9732e-006",
"415.0","0.0090","2.0606e-006",
"415.2","0.0093","2.1236e-006",
"415.4","0.0088","2.0226e-006",
"415.6","0.0089","2.0350e-006",
"415.8","0.0105","2.3997e-006",
"416.0","0.0117","2.6870e-006",
"416.2","0.0115","2.6300e-006",
"416.4","0.0110","2.5301e-006",
"416.6","0.0110","2.5228e-006",
"416.8","0.0114","2.6052e-006",
"417.0","0.0122","2.7877e-006",
"417.2","0.0128","2.9292e-006",
"417.4","0.0131","2.9934e-006",
"417.6","0.0134","3.0819e-006",
"417.8","0.0140","3.2060e-006",
"418.0","0.0144","3.2917e-006",
"418.2","0.0146","3.3392e-006",
"418.4","0.0148","3.3959e-006",
"418.6","0.0151","3.4677e-006",
"418.8","0.0155","3.5527e-006",
"419.0","0.0159","3.6387e-006",
"419.2","0.0162","3.7046e-006",
"419.4","0.0164","3.7643e-006",
"419.6","0.0168","3.8537e-006",
"419.8","0.0173","3.9618e-006",
"420.0","0.0179","4.0913e-006",
"420.2","0.0183","4.2001e-006",
"420.4","0.0183","4.1965e-006",
"420.6","0.0184","4.2236e-006",
"420.8","0.0195","4.4677e-006",
"421.0","0.0206","4.7305e-006",
"421.2","0.0212","4.8693e-006",
"421.4","0.0217","4.9806e-006",
"421.6","0.0222","5.0953e-006",
"421.8","0.0230","5.2699e-006",
"422.0","0.0242","5.5470e-006",
"422.2","0.0252","5.7775e-006",
"422.4","0.0257","5.8947e-006",
"422.6","0.0262","6.0157e-006",
"422.8","0.0270","6.1828e-006",
"423.0","0.0279","6.3947e-006",
"423.2","0.0289","6.6318e-006",
"423.4","0.0296","6.7728e-006",
"423.6","0.0298","6.8350e-006",
"423.8","0.0308","7.0547e-006",
"424.0","0.0323","7.3927e-006",
"424.2","0.0330","7.5525e-006",
"424.4","0.0331","7.5944e-006",
"424.6","0.0340","7.7826e-006",
"424.8","0.0353","8.0925e-006",
"425.0","0.0369","8.4497e-006",
"425.2","0.0383","8.7805e-006",
"425.4","0.0390","8.9337e-006",
"425.6","0.0394","9.0233e-006",
"425.8","0.0402","9.2044e-006",
"426.0","0.0414","9.4960e-006",
"426.2","0.0436","9.9839e-006",
"426.4","0.0458","1.0495e-005",
"426.6","0.0470","1.0773e-005",
"426.8","0.0484","1.1100e-005",
"427.0","0.0511","1.1706e-005",
"427.2","0.0534","1.2228e-005",
"427.4","0.0542","1.2422e-005",
"427.6","0.0549","1.2576e-005",
"427.8","0.0560","1.2841e-005",
"428.0","0.0576","1.3210e-005",
"428.2","0.0599","1.3726e-005",
"428.4","0.0622","1.4266e-005",
"428.6","0.0644","1.4757e-005",
"428.8","0.0660","1.5116e-005",
"429.0","0.0669","1.5344e-005",
"429.2","0.0686","1.5725e-005",
"429.4","0.0710","1.6275e-005",
"429.6","0.0735","1.6845e-005",
"429.8","0.0758","1.7370e-005",
"430.0","0.0779","1.7857e-005",
"430.2","0.0798","1.8292e-005",
"430.4","0.0817","1.8727e-005",
"430.6","0.0837","1.9190e-005",
"430.8","0.0860","1.9721e-005",
"431.0","0.0887","2.0321e-005",
"431.2","0.0914","2.0955e-005",
"431.4","0.0942","2.1588e-005",
"431.6","0.0968","2.2195e-005",
"431.8","0.0994","2.2789e-005",
"432.0","0.1021","2.3392e-005",
"432.2","0.1046","2.3978e-005",
"432.4","0.1072","2.4573e-005",
"432.6","0.1100","2.5213e-005",
"432.8","0.1132","2.5954e-005",
"433.0","0.1166","2.6718e-005",
"433.2","0.1196","2.7401e-005",
"433.4","0.1226","2.8092e-005",
"433.6","0.1259","2.8852e-005",
"433.8","0.1293","2.9631e-005",
"434.0","0.1328","3.0431e-005",
"434.2","0.1362","3.1226e-005",
"434.4","0.1398","3.2031e-005",
"434.6","0.1436","3.2918e-005",
"434.8","0.1478","3.3877e-005",
"435.0","0.1514","3.4697e-005",
"435.2","0.1545","3.5402e-005",
"435.4","0.1582","3.6269e-005",
"435.6","0.1624","3.7217e-005",
"435.8","0.1661","3.8060e-005",
"436.0","0.1695","3.8846e-005",
"436.2","0.1732","3.9706e-005",
"436.4","0.1775","4.0674e-005",
"436.6","0.1825","4.1819e-005",
"436.8","0.1875","4.2978e-005",
"437.0","0.1921","4.4026e-005",
"437.2","0.1964","4.5019e-005",
"437.4","0.2016","4.6204e-005",
"437.6","0.2065","4.7326e-005",
"437.8","0.2101","4.8153e-005",
"438.0","0.2136","4.8968e-005",
"438.2","0.2187","5.0130e-005",
"438.4","0.2243","5.1400e-005",
"438.6","0.2294","5.2572e-005",
"438.8","0.2342","5.3682e-005",
"439.0","0.2381","5.4575e-005",
"439.2","0.2424","5.5569e-005",
"439.4","0.2484","5.6939e-005",
"439.6","0.2544","5.8300e-005",
"439.8","0.2592","5.9408e-005",
"440.0","0.2638","6.0469e-005",
"440.2","0.2682","6.1480e-005",
"440.4","0.2732","6.2623e-005",
"440.6","0.2791","6.3964e-005",
"440.8","0.2845","6.5204e-005",
"441.0","0.2898","6.6417e-005",
"441.2","0.2955","6.7725e-005",
"441.4","0.3019","6.9195e-005",
"441.6","0.3086","7.0725e-005",
"441.8","0.3155","7.2320e-005",
"442.0","0.3222","7.3844e-005",
"442.2","0.3288","7.5369e-005",
"442.4","0.3354","7.6872e-005",
"442.6","0.3418","7.8330e-005",
"442.8","0.3491","8.0006e-005",
"443.0","0.3565","8.1705e-005",
"443.2","0.3634","8.3279e-005",
"443.4","0.3700","8.4797e-005",
"443.6","0.3772","8.6461e-005",
"443.8","0.3856","8.8370e-005",
"444.0","0.3953","9.0611e-005",
"444.2","0.4054","9.2920e-005",
"444.4","0.4144","9.4984e-005",
"444.6","0.4226","9.6859e-005",
"444.8","0.4300","9.8551e-005",
"445.0","0.4381","1.0042e-004",
"445.2","0.4489","1.0290e-004",
"445.4","0.4599","1.0542e-004",
"445.6","0.4700","1.0773e-004",
"445.8","0.4807","1.1018e-004",
"446.0","0.4917","1.1270e-004",
"446.2","0.5033","1.1536e-004",
"446.4","0.5151","1.1806e-004",
"446.6","0.5265","1.2067e-004",
"446.8","0.5370","1.2309e-004",
"447.0","0.5483","1.2568e-004",
"447.2","0.5616","1.2872e-004",
"447.4","0.5746","1.3169e-004",
"447.6","0.5873","1.3460e-004",
"447.8","0.6004","1.3761e-004",
"448.0","0.6141","1.4075e-004",
"448.2","0.6283","1.4400e-004",
"448.4","0.6433","1.4744e-004",
"448.6","0.6567","1.5052e-004",
"448.8","0.6711","1.5381e-004",
"449.0","0.6873","1.5753e-004",
"449.2","0.7043","1.6142e-004",
"449.4","0.7176","1.6448e-004",
"449.6","0.7300","1.6731e-004",
"449.8","0.7445","1.7065e-004",
"450.0","0.7602","1.7423e-004",
"450.2","0.7763","1.7794e-004",
"450.4","0.7919","1.8150e-004",
"450.6","0.8060","1.8474e-004",
"450.8","0.8205","1.8805e-004",
"451.0","0.8351","1.9139e-004",
"451.2","0.8491","1.9461e-004",
"451.4","0.8606","1.9725e-004",
"451.6","0.8729","2.0006e-004",
"451.8","0.8860","2.0308e-004",
"452.0","0.8995","2.0617e-004",
"452.2","0.9145","2.0960e-004",
"452.4","0.9260","2.1224e-004",
"452.6","0.9335","2.1395e-004",
"452.8","0.9424","2.1600e-004",
"453.0","0.9532","2.1847e-004",
"453.2","0.9629","2.2068e-004",
"453.4","0.9699","2.2230e-004",
"453.6","0.9759","2.2367e-004",
"453.8","0.9824","2.2517e-004",
"454.0","0.9866","2.2612e-004",
"454.2","0.9905","2.2702e-004",
"454.4","0.9938","2.2779e-004",
"454.6","0.9976","2.2865e-004",
"454.8","0.9997","2.2914e-004",
"455.0","0.9991","2.2898e-004",
"455.2","0.9974","2.2860e-004",
"455.4","0.9937","2.2776e-004",
"455.6","0.9909","2.2711e-004",
"455.8","0.9874","2.2631e-004",
"456.0","0.9825","2.2519e-004",
"456.2","0.9754","2.2355e-004",
"456.4","0.9662","2.2146e-004",
"456.6","0.9573","2.1941e-004",
"456.8","0.9483","2.1735e-004",
"457.0","0.9386","2.1514e-004",
"457.2","0.9282","2.1275e-004",
"457.4","0.9153","2.0979e-004",
"457.6","0.9020","2.0673e-004",
"457.8","0.8868","2.0325e-004",
"458.0","0.8712","1.9968e-004",
"458.2","0.8558","1.9615e-004",
"458.4","0.8416","1.9290e-004",
"458.6","0.8265","1.8942e-004",
"458.8","0.8090","1.8541e-004",
"459.0","0.7923","1.8160e-004",
"459.2","0.7765","1.7798e-004",
"459.4","0.7604","1.7429e-004",
"459.6","0.7441","1.7054e-004",
"459.8","0.7279","1.6683e-004",
"460.0","0.7109","1.6294e-004",
"460.2","0.6922","1.5866e-004",
"460.4","0.6736","1.5438e-004",
"460.6","0.6573","1.5066e-004",
"460.8","0.6436","1.4750e-004",
"461.0","0.6284","1.4403e-004",
"461.2","0.6125","1.4039e-004",
"461.4","0.5974","1.3693e-004",
"461.6","0.5828","1.3357e-004",
"461.8","0.5683","1.3025e-004",
"462.0","0.5546","1.2711e-004",
"462.2","0.5410","1.2399e-004",
"462.4","0.5277","1.2096e-004",
"462.6","0.5133","1.1765e-004",
"462.8","0.5000","1.1461e-004",
"463.0","0.4892","1.1212e-004",
"463.2","0.4793","1.0985e-004",
"463.4","0.4683","1.0734e-004",
"463.6","0.4570","1.0475e-004",
"463.8","0.4460","1.0222e-004",
"464.0","0.4366","1.0007e-004",
"464.2","0.4292","9.8370e-005",
"464.4","0.4221","9.6737e-005",
"464.6","0.4134","9.4740e-005",
"464.8","0.4044","9.2686e-005",
"465.0","0.3956","9.0660e-005",
"465.2","0.3881","8.8942e-005",
"465.4","0.3821","8.7581e-005",
"465.6","0.3768","8.6371e-005",
"465.8","0.3712","8.5087e-005",
"466.0","0.3651","8.3691e-005",
"466.2","0.3586","8.2191e-005",
"466.4","0.3519","8.0650e-005",
"466.6","0.3455","7.9190e-005",
"466.8","0.3411","7.8186e-005",
"467.0","0.3379","7.7440e-005",
"467.2","0.3338","7.6504e-005",
"467.4","0.3290","7.5400e-005",
"467.6","0.3235","7.4153e-005",
"467.8","0.3182","7.2927e-005",
"468.0","0.3139","7.1956e-005",
"468.2","0.3103","7.1117e-005",
"468.4","0.3069","7.0343e-005",
"468.6","0.3031","6.9477e-005",
"468.8","0.2978","6.8259e-005",
"469.0","0.2924","6.7014e-005",
"469.2","0.2883","6.6066e-005",
"469.4","0.2845","6.5205e-005",
"469.6","0.2807","6.4342e-005",
"469.8","0.2768","6.3452e-005",
"470.0","0.2725","6.2448e-005",
"470.2","0.2681","6.1450e-005",
"470.4","0.2641","6.0520e-005",
"470.6","0.2599","5.9558e-005",
"470.8","0.2554","5.8529e-005",
"471.0","0.2511","5.7548e-005",
"471.2","0.2473","5.6676e-005",
"471.4","0.2432","5.5738e-005",
"471.6","0.2386","5.4684e-005",
"471.8","0.2338","5.3585e-005",
"472.0","0.2290","5.2490e-005",
"472.2","0.2249","5.1547e-005",
"472.4","0.2213","5.0726e-005",
"472.6","0.2170","4.9746e-005",
"472.8","0.2121","4.8605e-005",
"473.0","0.2071","4.7477e-005",
"473.2","0.2025","4.6411e-005",
"473.4","0.1983","4.5442e-005",
"473.6","0.1944","4.4548e-005",
"473.8","0.1907","4.3714e-005",
"474.0","0.1870","4.2865e-005",
"474.2","0.1825","4.1823e-005",
"474.4","0.1776","4.0710e-005",
"474.6","0.1733","3.9719e-005",
"474.8","0.1691","3.8754e-005",
"475.0","0.1643","3.7663e-005",
"475.2","0.1598","3.6620e-005",
"475.4","0.1564","3.5851e-005",
"475.6","0.1533","3.5144e-005",
"475.8","0.1498","3.4328e-005",
"476.0","0.1461","3.3489e-005",
"476.2","0.1425","3.2651e-005",
"476.4","0.1388","3.1810e-005",
"476.6","0.1351","3.0961e-005",
"476.8","0.1314","3.0114e-005",
"477.0","0.1277","2.9272e-005",
"477.2","0.1246","2.8552e-005",
"477.4","0.1221","2.7993e-005",
"477.6","0.1195","2.7400e-005",
"477.8","0.1165","2.6702e-005",
"478.0","0.1137","2.6055e-005",
"478.2","0.1112","2.5490e-005",
"478.4","0.1083","2.4832e-005",
"478.6","0.1051","2.4079e-005",
"478.8","0.1022","2.3421e-005",
"479.0","0.0999","2.2887e-005",
"479.2","0.0978","2.2419e-005",
"479.4","0.0959","2.1973e-005",
"479.6","0.0936","2.1454e-005",
"479.8","0.0912","2.0905e-005",
"480.0","0.0893","2.0468e-005",
"480.2","0.0877","2.0090e-005",
"480.4","0.0857","1.9638e-005",
"480.6","0.0835","1.9142e-005",
"480.8","0.0813","1.8639e-005",
"481.0","0.0793","1.8185e-005",
"481.2","0.0780","1.7880e-005",
"481.4","0.0770","1.7638e-005",
"481.6","0.0758","1.7371e-005",
"481.8","0.0745","1.7074e-005",
"482.0","0.0729","1.6714e-005",
"482.2","0.0712","1.6320e-005",
"482.4","0.0693","1.5880e-005",
"482.6","0.0676","1.5491e-005",
"482.8","0.0665","1.5247e-005",
"483.0","0.0656","1.5044e-005",
"483.2","0.0647","1.4822e-005",
"483.4","0.0637","1.4599e-005",
"483.6","0.0627","1.4376e-005",
"483.8","0.0616","1.4127e-005",
"484.0","0.0604","1.3845e-005",
"484.2","0.0594","1.3606e-005",
"484.4","0.0586","1.3430e-005",
"484.6","0.0577","1.3230e-005",
"484.8","0.0567","1.2987e-005",
"485.0","0.0559","1.2809e-005",
"485.2","0.0553","1.2684e-005",
"485.4","0.0542","1.2422e-005",
"485.6","0.0526","1.2053e-005",
"485.8","0.0517","1.1850e-005",
"486.0","0.0514","1.1776e-005",
"486.2","0.0505","1.1581e-005",
"486.4","0.0492","1.1284e-005",
"486.6","0.0480","1.1010e-005",
"486.8","0.0470","1.0780e-005",
"487.0","0.0463","1.0612e-005",
"487.2","0.0457","1.0481e-005",
"487.4","0.0451","1.0338e-005",
"487.6","0.0445","1.0190e-005",
"487.8","0.0439","1.0057e-005",
"488.0","0.0433","9.9240e-006",
"488.2","0.0427","9.7755e-006",
"488.4","0.0419","9.5946e-006",
"488.6","0.0407","9.3278e-006",
"488.8","0.0396","9.0691e-006",
"489.0","0.0389","8.9060e-006",
"489.2","0.0383","8.7868e-006",
"489.4","0.0379","8.6978e-006",
"489.6","0.0374","8.5721e-006",
"489.8","0.0364","8.3460e-006",
"490.0","0.0355","8.1296e-006",
"490.2","0.0348","7.9850e-006",
"490.4","0.0342","7.8280e-006",
"490.6","0.0333","7.6302e-006",
"490.8","0.0327","7.4944e-006",
"491.0","0.0325","7.4522e-006",
"491.2","0.0322","7.3847e-006",
"491.4","0.0316","7.2444e-006",
"491.6","0.0306","7.0240e-006",
"491.8","0.0294","6.7436e-006",
"492.0","0.0284","6.5117e-006",
"492.2","0.0277","6.3577e-006",
"492.4","0.0274","6.2767e-006",
"492.6","0.0272","6.2329e-006",
"492.8","0.0268","6.1322e-006",
"493.0","0.0261","5.9754e-006",
"493.2","0.0253","5.7914e-006",
"493.4","0.0245","5.6227e-006",
"493.6","0.0243","5.5743e-006",
"493.8","0.0242","5.5564e-006",
"494.0","0.0234","5.3692e-006",
"494.2","0.0224","5.1304e-006",
"494.4","0.0220","5.0372e-006",
"494.6","0.0218","5.0021e-006",
"494.8","0.0215","4.9232e-006",
"495.0","0.0210","4.8225e-006",
"495.2","0.0205","4.7019e-006",
"495.4","0.0200","4.5865e-006",
"495.6","0.0197","4.5180e-006",
"495.8","0.0194","4.4431e-006",
"496.0","0.0188","4.3166e-006",
"496.2","0.0183","4.1845e-006",
"496.4","0.0178","4.0741e-006",
"496.6","0.0173","3.9567e-006",
"496.8","0.0167","3.8169e-006",
"497.0","0.0162","3.7207e-006",
"497.2","0.0162","3.7044e-006",
"497.4","0.0160","3.6692e-006",
"497.6","0.0156","3.5731e-006",
"497.8","0.0151","3.4551e-006",
"498.0","0.0146","3.3364e-006",
"498.2","0.0143","3.2731e-006",
"498.4","0.0143","3.2782e-006",
"498.6","0.0144","3.3030e-006",
"498.8","0.0145","3.3146e-006",
"499.0","0.0142","3.2471e-006",
"499.2","0.0136","3.1177e-006",
"499.4","0.0133","3.0480e-006",
"499.6","0.0132","3.0249e-006",
"499.8","0.0129","2.9456e-006",
"500.0","0.0124","2.8326e-006",
"500.2","0.0121","2.7696e-006",
"500.4","0.0120","2.7437e-006",
"500.6","0.0119","2.7164e-006",
"500.8","0.0117","2.6879e-006",
"501.0","0.0116","2.6646e-006",
"501.2","0.0115","2.6381e-006",
"501.4","0.0113","2.5934e-006",
"501.6","0.0111","2.5432e-006",
"501.8","0.0110","2.5100e-006",
"502.0","0.0108","2.4677e-006",
"502.2","0.0104","2.3769e-006",
"502.4","0.0100","2.2887e-006",
"502.6","0.0098","2.2509e-006",
"502.8","0.0097","2.2284e-006",
"503.0","0.0096","2.2013e-006",
"503.2","0.0096","2.1913e-006",
"503.4","0.0097","2.2142e-006",
"503.6","0.0097","2.2241e-006",
"503.8","0.0096","2.1915e-006",
"504.0","0.0093","2.1298e-006",
"504.2","0.0089","2.0449e-006",
"504.4","0.0087","1.9970e-006",
"504.6","0.0088","2.0100e-006",
"504.8","0.0087","2.0042e-006",
"505.0","0.0085","1.9591e-006",
"505.2","0.0085","1.9516e-006",
"505.4","0.0087","1.9861e-006",
"505.6","0.0086","1.9652e-006",
"505.8","0.0082","1.8878e-006",
"506.0","0.0081","1.8544e-006",
"506.2","0.0081","1.8641e-006",
"506.4","0.0081","1.8461e-006",
"506.6","0.0078","1.7954e-006",
"506.8","0.0075","1.7196e-006",
"507.0","0.0072","1.6505e-006",
"507.2","0.0073","1.6694e-006",
"507.4","0.0075","1.7276e-006",
"507.6","0.0075","1.7210e-006",
"507.8","0.0073","1.6713e-006",
"508.0","0.0070","1.6140e-006",
"508.2","0.0068","1.5528e-006",
"508.4","0.0065","1.4804e-006",
"508.6","0.0063","1.4344e-006",
"508.8","0.0065","1.4963e-006",
"509.0","0.0068","1.5544e-006",
"509.2","0.0063","1.4553e-006",
"509.4","0.0059","1.3531e-006",
"509.6","0.0061","1.3889e-006",
"509.8","0.0062","1.4204e-006",
"510.0","0.0059","1.3461e-006",
"510.2","0.0056","1.2829e-006",
"510.4","0.0057","1.3005e-006",
"510.6","0.0058","1.3336e-006",
"510.8","0.0059","1.3540e-006",
"511.0","0.0059","1.3632e-006",
"511.2","0.0059","1.3562e-006",
"511.4","0.0058","1.3394e-006",
"511.6","0.0057","1.3156e-006",
"511.8","0.0056","1.2880e-006",
"512.0","0.0055","1.2561e-006",
"512.2","0.0052","1.2009e-006",
"512.4","0.0049","1.1277e-006",
"512.6","0.0047","1.0812e-006",
"512.8","0.0047","1.0778e-006",
"513.0","0.0049","1.1322e-006",
"513.2","0.0053","1.2158e-006",
"513.4","0.0054","1.2372e-006",
"513.6","0.0052","1.1913e-006",
"513.8","0.0048","1.1012e-006",
"514.0","0.0044","1.0068e-006",
"514.2","0.0043","9.9084e-007",
"514.4","0.0045","1.0270e-006",
"514.6","0.0046","1.0627e-006",
"514.8","0.0047","1.0756e-006",
"515.0","0.0044","1.0147e-006",
"515.2","0.0041","9.3876e-007",
"515.4","0.0041","9.4293e-007",
"515.6","0.0043","9.7516e-007",
"515.8","0.0043","9.8375e-007",
"516.0","0.0042","9.6981e-007",
"516.2","0.0040","9.0769e-007",
"516.4","0.0037","8.5307e-007",
"516.6","0.0038","8.6617e-007",
"516.8","0.0039","8.9929e-007",
"517.0","0.0041","9.2928e-007",
"517.2","0.0041","9.4447e-007",
"517.4","0.0040","9.2779e-007",
"517.6","0.0039","8.8755e-007",
"517.8","0.0036","8.2465e-007",
"518.0","0.0034","7.8218e-007",
"518.2","0.0034","7.8625e-007",
"518.4","0.0035","8.0014e-007",
"518.6","0.0035","8.0803e-007",
"518.8","0.0035","8.0443e-007",
"519.0","0.0034","7.8791e-007",
"519.2","0.0034","7.8856e-007",
"519.4","0.0035","8.0804e-007",
"519.6","0.0035","7.9666e-007",
"519.8","0.0033","7.5390e-007",
"520.0","0.0032","7.4246e-007",
"520.2","0.0033","7.5954e-007",
"520.4","0.0032","7.3811e-007",
"520.6","0.0030","6.9054e-007",
"520.8","0.0030","6.9096e-007",
"521.0","0.0032","7.2469e-007",
"521.2","0.0032","7.2925e-007",
"521.4","0.0031","7.1487e-007",
"521.6","0.0031","7.1710e-007",
"521.8","0.0032","7.2724e-007",
"522.0","0.0032","7.2579e-007",
"522.2","0.0031","7.1905e-007",
"522.4","0.0031","7.1524e-007",
"522.6","0.0031","7.1575e-007",
"522.8","0.0032","7.3344e-007",
"523.0","0.0032","7.3969e-007",
"523.2","0.0030","6.7918e-007",
"523.4","0.0027","6.2678e-007",
"523.6","0.0029","6.7383e-007",
"523.8","0.0032","7.3201e-007",
"524.0","0.0032","7.3855e-007",
"524.2","0.0032","7.2880e-007",
"524.4","0.0031","7.1426e-007",
"524.6","0.0030","6.9870e-007",
"524.8","0.0030","6.8827e-007",
"525.0","0.0030","6.8521e-007",
"525.2","0.0030","6.9212e-007",
"525.4","0.0030","6.9616e-007",
"525.6","0.0030","6.9135e-007",
"525.8","0.0031","7.0356e-007",
"526.0","0.0032","7.3624e-007",
"526.2","0.0031","7.2095e-007",
"526.4","0.0028","6.4636e-007",
"526.6","0.0027","6.1119e-007",
"526.8","0.0028","6.3360e-007",
